time,target,master_offset,freq,path_delay
1736658068,0.5000717639923096,-527777,-201116,1493540
1736658070,0.5000951290130615,-469869,-256749,1493540
1736658071,0.500046968460083,-140211,-68052,1441967
1736658072,0.5001068115234375,-258958,-228862,1441967
1736658073,0.5002045631408691,-381208,-428799,1901403
1736658076,0.5001025199890137,-251622,-258331,1901403
1736658077,0.500037431716919,35776,-46420,1901403
1736658081,0.500007152557373,-224700,-33179,1218999
1736658082,0.5000600814819336,-251471,-127360,1218999
1736658084,0.5000300407409668,-360318,-144250,976931
1736658087,0.5002009868621826,-802368,-533825,747634
1736658088,0.5002169609069824,-444452,-416620,863861
1736658089,0.5001254081726074,-119468,-224971,1081606
1736658093,0.500002384185791,-61633,-22263,1066629
1736658094,0.5001296997070312,-308249,-287369,1066629
1736658095,0.5000534057617188,-7479,-79073,1167039
1736658096,0.5000200271606445,42578,-31260,1167039
1736658101,0.5000920295715332,-246555,-209864,1252087
1736658102,0.5000565052032471,-58957,-96232,1252087
1736658104,0.5000197887420654,-11240,-43491,1116929
1736658108,0.5000951290130615,-326045,-235870,1035633
1736658114,0.5000767707824707,-263385,-192734,921734
1736658115,0.5000512599945068,-78505,-86870,967509
1736658117,0.5000331401824951,-111548,-90170,1025882
1736658118,0.5000696182250977,-129763,-141849,1025882
1736658119,0.5000441074371338,-25813,-76828,1114550
1736658121,0.500133752822876,-488662,-368290,1161851
1736658122,0.5000977516174316,-142029,-168256,1161851
1736658126,0.5000214576721191,-81010,-46365,1008261
1736658131,0.5001766681671143,-563473,-436938,999137
1736658132,0.5000944137573242,-110089,-152596,999137
1736658136,0.5000391006469727,-102102,-89098,935863
1736658140,0.5003008842468262,-1320426,-867112,934312
1736658141,0.5002949237823486,-607043,-549856,934312
1736658142,0.5001165866851807,-59764,-184690,934312
1736658143,0.5000348091125488,92070,-50786,857491
1736658145,0.5002827644348145,-968602,-765045,961759
1736658146,0.500147819519043,-143329,-230352,941604
1736658148,0.5001685619354248,-297695,-380506,1190530
1736658152,0.5000886917114258,-282019,-217790,966745
1736658154,0.5000379085540771,-72537,-83514,953589
1736658159,0.5003011226654053,-887909,-724781,953589
1736658160,0.5001530647277832,-144375,-247619,953589
1736658163,0.5000157356262207,-4527,-39920,832416
1736658167,0.5001826286315918,-633619,-463990,868811
1736658168,0.5001599788665771,-275971,-296428,868811
1736658170,0.5001904964447021,-439226,-452268,1117216
1736658171,0.5000615119934082,68764,-76045,1117216
1736658194,0.5048158168792725,-11086224,-10972748,734296
1736658195,0.5021228790283203,-151932,-3364324,734296
1736658196,0.5002429485321045,3167868,-90103,828795
1736658202,0.5007519721984863,-2593406,-2073145,1287835
1736658203,0.5004220008850098,-422193,-679954,1287835
1736658204,0.5002784729003906,-152252,-536671,1646746
1736658205,0.500037431716919,420299,-9795,1646746
1736658210,0.4999966621398926,-154515,-42860,1490977
